drugName,condition,rating,negative,positive,word_frequency
Budesonide,"Asthma, Maintenance",8.5,7.0,5.0,"[('armour', 5), ('felt', 4), ('still', 3), ('even', 3), ('thyroxine', 3)]"
Budesonide / formoterol,moterol),10.0,13.0,17.0,"[('thyroid', 4), ('feel', 3), ('low', 3), ('medication', 3), ('hormone', 2)]"
Bumetanide,Edema,8.0,2.0,0.0,"[('year', 3), ('work', 3), ('not', 3), ('synthroid', 2), ('took', 2)]"
Bunavail,Opiate Dependence,8.0,7.0,3.0,"[('armour', 20), ('thyroid', 13), ('not', 11), ('year', 6), ('weight', 6)]"
Bupivacaine,Postoperative Pain,7.5,1.0,1.0,"[('month', 2), ('used', 1), ('arnuity', 1), ('week', 1), ('see', 1)]"
Bupivacaine liposome,Pain,10.0,1.0,0.0,"[('aromasin', 2), ('month', 2), ('falling', 2), ('year', 1), ('prior', 1)]"
Buprenex,Pain,10.0,1.0,0.0,"[('relieved', 1), ('muscle', 1), ('spasm', 1), ('caused', 1), ('risperidone', 1)]"
Buprenorphine,Chronic Pain,9.0,59.0,16.0,"[('mg', 3), ('pain', 3), ('needed', 3), ('spine', 2), ('foot', 2)]"
Buprenorphine / naloxone,Opiate Dependence,10.0,118.0,46.0,"[('hand', 2), ('pain', 2), ('not', 2), ('drug', 1), ('put', 1)]"
Buproban,Smoking Cessation,9.5,2.0,0.0,"[('pain', 4), ('week', 3), ('taking', 2), ('medication', 2), ('ago', 2)]"
Bupropion,Depression,9.0,248.0,94.0,"[('asacol', 3), ('weight', 3), ('loss', 3), ('taking', 2), ('crohn', 2)]"
Bupropion / naltrexone,Obesity,8.0,206.0,90.0,"[('no', 2), ('asacol', 1), ('impact', 1), ('crohn', 1), ('flare', 1)]"
Buspirone,Anxiety,8.0,120.0,31.0,"[('medication', 2), ('day', 2), ('year', 1), ('tablet', 1), ('thank', 1)]"
Butabarbital,Insomnia,9.0,0.0,1.0,"[('asacol', 4), ('scope', 2), ('last', 2), ('diagnosed', 1), ('ulcerative', 1)]"
Butorphanol,Pain,5.0,13.0,2.0,"[('taking', 2), ('last', 2), ('increasing', 2), ('since', 2), ('starting', 2)]"
Butrans,Chronic Pain,7.0,32.0,7.0,"[('asacol', 13), ('taking', 9), ('year', 9), ('day', 8), ('pill', 7)]"
Bydureon,"Diabetes, Type 2",8.0,23.0,13.0,"[('no', 3), ('asacol', 2), ('year', 2), ('longer', 2), ('work', 2)]"
Byetta,"Diabetes, Type 2",9.5,11.0,7.0,"[('work', 2), ('asacol', 1), ('not', 1), ('well', 1), ('no', 1)]"
Bystolic,High Blood Pressure,7.5,27.0,9.0,"[('asacol', 5), ('hd', 4), ('prednisone', 3), ('ulcerative', 2), ('colitis', 2)]"
Cabergoline,Hyperprolactinemia,8.0,6.0,1.0,"[('work', 1), ('great', 1), ('no', 1), ('flare', 1), ('year', 1)]"
Cafergot,Migraine,8.0,4.0,0.0,"[('took', 1), ('way', 1), ('many', 1), ('vitamin', 1), ('tablet', 1)]"
Caffeine,Hypersomnia,8.0,3.0,0.0,"[('day', 38), ('not', 34), ('saphris', 31), ('feel', 25), ('sleep', 22)]"
Caffeine / ergotamine,Migraine,10.0,2.0,1.0,"[('mg', 2), ('effect', 2), ('well', 2), ('take', 2), ('medicine', 2)]"
Calamine,Pruritus,10.0,1.0,0.0,"[('year', 2), ('far', 2), ('antipsychotic', 2), ('many', 2), ('also', 2)]"
Calan SR,Arrhythmia,7.0,0.0,1.0,"[('mg', 5), ('morning', 5), ('day', 5), ('not', 5), ('take', 4)]"
Calci-Chew,Osteoporosis,8.0,0.0,1.0,"[('medicine', 5), ('know', 2), ('hi', 1), ('week', 1), ('already', 1)]"
Calcipotriene,Psoriasis,9.0,2.0,3.0,"[('period', 12), ('month', 9), ('control', 8), ('birth', 7), ('cramp', 7)]"
Calcitonin,Osteoporosis,1.0,1.0,0.0,"[('day', 3), ('since', 3), ('medicine', 3), ('not', 3), ('rescue', 3)]"
Calcitriol,Hypocalcemia,10.0,2.0,1.0,"[('pain', 4), ('back', 3), ('take', 3), ('headache', 3), ('work', 3)]"
Calcium acetate,Hyperphosphatemia,3.0,0.0,1.0,"[('good', 1), ('blood', 1), ('thinner,rheumatoid', 1), ('arthritis', 1), ('take', 1)]"
Calcium carbonate,Indigestion,8.0,1.0,2.0,"[('pain', 3), ('aspirin', 2), ('year', 2), ('found', 1), ('amazing', 1)]"
Calmoseptine,Diaper Rash,10.0,1.0,1.0,"[('fiorinal', 2), ('fioricet', 2), ('pain', 1), ('medicine', 1), ('help', 1)]"
Caltrate 600+D,Osteoporosis,9.0,0.0,1.0,"[('migraine', 14), ('year', 8), ('work', 8), ('medication', 7), ('take', 7)]"
Cambia,Migraine,9.0,10.0,1.0,"[('headache', 3), ('migraine', 3), ('medicine', 3), ('work', 2), ('take', 2)]"
Camila,Birth Control,6.0,3.0,1.0,"[('take', 4), ('pain', 3), ('best', 2), ('hour', 2), ('taking', 2)]"
Camphor / menthol,Pain,6.5,2.0,0.0,"[('found', 2), ('amman', 1), ('jordan', 1), ('traveling', 1), ('first', 1)]"
Campral,Alcohol Dependence,9.0,21.0,10.0,"[('norgesic', 3), ('time', 3), ('nothing', 3), ('worked', 3), ('week', 2)]"
Camrese,Birth Control,6.0,19.0,8.0,"[('combination', 3), ('taking', 3), ('term', 3), ('took', 2), ('drug', 2)]"
CamreseLo,Birth Control,6.0,1.0,0.0,"[('great', 1), ('severe', 1), ('muscle', 1), ('pain', 1), ('spasm,give', 1)]"
Canagliflozin,"Diabetes, Type 2",8.0,27.0,23.0,"[('percocet', 3), ('soma', 3), ('valium', 2), ('combination', 2), ('think', 2)]"
Canasa,Ulcerative Proctitis,9.0,1.0,1.0,"[('aggrenox', 7), ('stroke', 7), ('one', 5), ('prescribed', 5), ('medication', 5)]"
Candesartan,Migraine Prevention,9.0,3.0,1.0,"[('best', 1), ('drug', 1), ('ever', 1), ('trust', 1), ('doctor', 1)]"
Capecitabine,"Breast Cancer, Metastatic",8.0,1.0,0.0,"[('every', 3), ('hour', 3), ('three', 3), ('hernia', 2), ('operation', 2)]"
Capsaicin,Pain,3.5,9.0,3.0,"[('astelin', 4), ('nasal', 3), ('allergy', 2), ('problem', 2), ('put', 2)]"
Capsaicin / menthol / methyl salicylate,Muscle Pain,6.0,1.0,0.0,"[('upper', 2), ('doctor', 2), ('bronchial', 2), ('horrible', 2), ('feeling', 2)]"
Capzasin,Pain,1.0,0.0,1.0,"[('effect', 3), ('medication', 3), ('asthma', 3), ('take', 2), ('nervousness', 2)]"
Capzasin-P,Osteoarthritis,1.0,0.0,1.0,"[('far', 1), ('good', 1), ('mg', 1), ('atacand', 1)]"
Carac,Basal Cell Carcinoma,10.0,2.0,1.0,"[('not', 2), ('medicine', 1), ('food', 1), ('allergy,used', 1), ('medication', 1)]"
Carafate,GERD,2.0,1.0,1.0,"[('mg', 7), ('anxiety', 7), ('made', 4), ('sleep', 4), ('atarax', 4)]"
Carbamazepine,Bipolar Disorde,9.0,53.0,16.0,"[('atarax', 2), ('nausea', 2), ('taking', 2), ('best', 1), ('relieving', 1)]"
Carbamide peroxide,Ear Wax Impaction,5.5,1.0,1.0,"[('medicine', 1), ('not', 1), ('help', 1)]"
Carbatrol,Trigeminal Neuralgia,7.5,2.0,0.0,"[('itching', 6), ('day', 4), ('night', 3), ('take', 3), ('well', 2)]"
Carbidopa / entacapone / levodopa,Parkinson's Disease,10.0,1.0,0.0,"[('effect', 3), ('drug', 3), ('wake', 2), ('use', 2), ('atarax', 1)]"
Carbidopa / levodopa,Restless Legs Syndrome,10.0,7.0,2.0,"[('allergic', 1), ('fosamax', 1), ('doctor', 1), ('gave', 1), ('atelvia', 1)]"
Carbinoxamine,Allergic Rhinitis,10.0,1.0,0.0,"[('atenolol', 8), ('anxiety', 5), ('effect', 5), ('heart', 4), ('worked', 4)]"
Carboplatin,Cance,1.0,1.0,0.0,"[('atenolol', 22), ('year', 15), ('side', 11), ('effect', 11), ('no', 10)]"
Cardizem,High Blood Pressure,9.0,2.0,1.0,"[('atenolol', 11), ('year', 10), ('migraine', 10), ('get', 5), ('started', 5)]"
Cardizem CD,Supraventricular Tachycardia,4.5,1.0,1.0,"[('mg', 5), ('heart', 4), ('rate', 4), ('day', 3), ('product', 2)]"
Cardura,Benign Prostatic Hyperplasia,7.0,2.0,0.0,"[('mg', 3), ('drop', 3), ('since', 2), ('day', 2), ('severe', 1)]"
Cardura XL,Benign Prostatic Hyperplasia,10.0,0.0,1.0,"[('blood', 4), ('doctor', 3), ('night', 2), ('went', 2), ('pressure', 2)]"
Cariprazine,Bipolar Disorde,7.0,12.0,5.0,"[('anxiety', 43), ('ativan', 39), ('mg', 38), ('day', 31), ('panic', 30)]"
Carisoprodol,Muscle Spasm,10.0,30.0,13.0,"[('dystonia', 2), ('ativan', 1), ('gave', 1), ('relief', 1), ('anxiety', 1)]"
Carmol 20,Dry Skin,10.0,1.0,0.0,"[('ativan', 7), ('sleep', 7), ('every', 7), ('mg', 6), ('night', 5)]"
Cartia XT,High Blood Pressure,10.0,2.0,2.0,"[('ativan', 2), ('procedure', 2), ('today', 1), ('severe', 1), ('back', 1)]"
Carvedilol,High Blood Pressure,7.0,19.0,9.0,"[('side', 2), ('effect', 2), ('nausea', 2), ('gastroparesis', 1), ('gag', 1)]"
Casodex,Prostate Cance,9.0,0.0,2.0,"[('attack', 14), ('panic', 12), ('ativan', 8), ('mg', 7), ('work', 6)]"
Cataflam,Period Pain,9.0,6.0,3.0,"[('not', 3), ('day', 3), ('two', 3), ('medication', 3), ('prescribed', 2)]"
Catapres,Opiate Withdrawal,9.0,8.0,5.0,"[('mg', 50), ('effect', 49), ('side', 40), ('not', 38), ('taking', 37)]"
Caverject,Erectile Dysfunction,10.0,0.0,1.0,"[('add', 5), ('strattera', 3), ('two', 3), ('definitely', 2), ('focus', 2)]"
Caziant,Birth Control,10.0,0.0,1.0,"[('medication', 2), ('level', 2), ('taking', 1), ('week', 1), ('notice', 1)]"
Cedax,Sinusitis,8.0,1.0,0.0,"[('day', 19), ('cholesterol', 15), ('taking', 13), ('cramp', 13), ('leg', 12)]"
Cefdinir,Sinusitis,4.0,33.0,8.0,"[('caused', 1), ('severe', 1), ('muscle', 1), ('pain', 1), ('cramp', 1)]"
Cefditoren,Tonsillitis/Pharyngitis,1.0,1.0,0.0,"[('pain', 3), ('mg', 2), ('day', 2), ('gave', 1), ('stomach', 1)]"
Cefepime,Skin and Structure Infection,9.0,1.0,0.0,"[('medicine', 1), ('really', 1), ('work', 1), ('problem', 1), ('occur', 1)]"
Cefixime,Urinary Tract Infection,7.5,1.0,1.0,"[('form', 2), ('usually', 1), ('pretty', 1), ('tolerant', 1), ('drug', 1)]"
Cefpodoxime,Bronchitis,6.0,1.0,1.0,"[('malarone', 6), ('malaria', 5), ('used', 4), ('not', 4), ('taking', 4)]"
Cefprozil,Sinusitis,5.0,2.0,1.0,"[('acne', 12), ('month', 9), ('skin', 9), ('breakout', 7), ('atralin', 7)]"
Ceftibuten,Sinusitis,10.0,1.0,0.0,"[('year', 17), ('cd', 16), ('atripla', 15), ('side', 12), ('viral', 12)]"
Ceftin,Sinusitis,7.0,4.0,3.0,"[('crohn', 2), ('disease', 2), ('one', 2), ('dose', 2), ('like', 1)]"
Ceftriaxone,Urinary Tract Infection,10.0,11.0,4.0,"[('diarrhea', 11), ('lomotil', 9), ('day', 7), ('not', 6), ('work', 6)]"
Cefuroxime,Sinusitis,9.0,15.0,3.0,"[('donnatal', 2), ('expensive', 1), ('go', 1), ('website', 1), ('link', 1)]"
Cefzil,Bladder Infection,9.0,2.0,1.0,"[('nausea', 2), ('pain', 2), ('everything', 2), ('er', 2), ('donnatal', 2)]"
Celebrex,Osteoarthritis,8.0,31.0,5.0,"[('irritable', 4), ('bowel', 4), ('syndrome', 4), ('ibs', 4), ('help', 3)]"
Celecoxib,Pain,9.0,34.0,8.0,"[('one', 2), ('also', 1), ('take', 1), ('seretide', 1), ('medication', 1)]"
Celestone,Dermatological Disorders,8.0,1.0,0.0,"[('completely', 1), ('cured', 1), ('constant', 1), ('runny', 1), ('nose', 1)]"
Celexa,Anxiety and Stress,9.0,127.0,42.0,"[('not', 7), ('aubagio', 6), ('no', 6), ('medication', 6), ('issue', 6)]"
CellCept,Myasthenia Gravis,9.5,2.0,4.0,"[('period', 33), ('pill', 25), ('got', 21), ('month', 20), ('day', 20)]"
Cenestin,Postmenopausal Symptoms,10.0,2.0,1.0,"[('day', 9), ('effect', 5), ('infection', 4), ('side', 4), ('stomach', 3)]"
Cephalexin,Bacterial Infection,9.0,34.0,14.0,"[('day', 6), ('time', 5), ('diarrhea', 5), ('bronchitis', 3), ('week', 3)]"
Ceritinib,Non-Small Cell Lung Cance,5.0,1.0,0.0,"[('prescription', 3), ('started', 3), ('ear', 2), ('side', 2), ('day', 2)]"
Certolizumab,Ankylosing Spondylitis,9.5,3.0,1.0,"[('day', 30), ('infection', 23), ('sinus', 18), ('take', 18), ('augmentin', 17)]"
Cervidil,Labor Induction,8.0,0.0,1.0,"[('day', 6), ('started', 4), ('augmentin', 3), ('like', 3), ('still', 3)]"
Cetirizine,Allergic Rhinitis,9.0,26.0,13.0,"[('stomach', 3), ('said', 2), ('dr', 2), ('see', 2), ('severe', 2)]"
Cetirizine / pseudoephedrine,Allergic Rhinitis,10.0,1.0,0.0,"[('day', 12), ('pain', 5), ('no', 5), ('diarrhea', 5), ('fever', 4)]"
Cetuximab,Squamous Cell Carcinoma,9.0,1.0,0.0,"[('day', 7), ('sinus', 4), ('upper', 3), ('take', 3), ('diarrhea', 3)]"
Cevimeline,Sjogren's Syndrome,1.0,1.0,1.0,"[('not', 7), ('infection', 4), ('ear', 4), ('augmentin', 3), ('taking', 3)]"
Chantix,Smoking Cessation,10.0,142.0,82.0,"[('killed', 1), ('sinus', 1), ('infection', 1), ('day', 1), ('chronic', 1)]"
Chaparral,Herbal Supplementation,9.0,1.0,0.0,"[('weight', 4), ('avalide', 2), ('not', 2), ('lot', 2), ('prescribed', 1)]"
Chateal,Birth Control,5.0,24.0,14.0,"[('viagra', 17), ('stendra', 16), ('effect', 12), ('side', 10), ('cialis', 10)]"
Cheratussin AC,Cough,4.0,5.0,1.0,"[('avandia', 4), ('leg', 3), ('heart', 2), ('complete', 2), ('stress', 2)]"
Children's Claritin Allergy,Allergic Rhinitis,5.0,0.0,1.0,"[('kidney', 4), ('avapro', 3), ('doctor', 2), ('taking', 1), ('prevent', 1)]"
Children's Dimetapp Decongestant Infant,Nasal Congestion,9.0,1.0,0.0,"[('mg', 3), ('avapro', 3), ('bp', 3), ('taking', 2), ('blood', 2)]"
Children's Motrin,Pain,9.0,0.0,1.0,"[('avastin', 3), ('diagnosed', 2), ('brain', 2), ('year', 2), ('surgery', 2)]"
Chlor-Trimeton,Allergic Rhinitis,9.0,5.0,0.0,"[('finished', 1), ('round', 1), ('avastin', 1), ('doxil', 1), ('developed', 1)]"
Chloral hydrate,Insomnia,10.0,1.0,1.0,"[('however', 2), ('received', 1), ('first', 1), ('shot', 1), ('yesterday', 1)]"
Chlorambucil,Chronic Lymphocytic Leukemia,10.0,0.0,1.0,"[('side', 10), ('avelox', 10), ('day', 9), ('ear', 6), ('effect', 5)]"
Chlorcyclizine / phenylephrine,Nasal Congestion,6.0,1.0,0.0,"[('avelox', 9), ('day', 8), ('side', 8), ('effect', 7), ('bronchitis', 6)]"
Chlordiazepoxide,Alcohol Withdrawal,10.0,23.0,3.0,"[('side', 6), ('day', 5), ('effect', 4), ('pneumonia', 4), ('night', 3)]"
Chlordiazepoxide / clidinium,Irritable Bowel Syndrome,10.0,12.0,3.0,"[('infection', 17), ('avelox', 13), ('side', 13), ('sinus', 12), ('effect', 11)]"
Chlorhexidine,Gingivitis,10.0,9.0,0.0,"[('period', 13), ('feel', 4), ('aviane', 3), ('breast', 3), ('not', 3)]"
Chloromycetin,Bacterial Infection,1.0,1.0,0.0,"[('month', 83), ('period', 71), ('pill', 61), ('aviane', 52), ('no', 49)]"
Chlorpheniramine,Allergic Reactions,10.0,4.0,1.0,"[('period', 3), ('breakout', 2), ('depression', 2), ('weight', 2), ('use', 2)]"
Chlorpheniramine / dextromethorphan,Cough and Nasal Congestion,9.0,1.0,0.0,"[('avinza', 6), ('year', 4), ('life', 4), ('chronic', 3), ('pain', 3)]"
Chlorpheniramine / dextromethorphan / phenylephrine,Cough and Nasal Congestion,10.0,1.0,1.0,"[('pain', 15), ('avinza', 8), ('medicine', 5), ('better', 4), ('mg', 4)]"
Chlorpheniramine / dextromethorphan / pseudoephedrine,Cough and Nasal Congestion,10.0,0.0,1.0,"[('avodart', 6), ('decreased', 5), ('sex', 5), ('drive', 5), ('year', 4)]"
Chlorpheniramine / hydrocodone,Cough,10.0,15.0,6.0,"[('injection', 14), ('week', 8), ('side', 8), ('avonex', 7), ('effect', 7)]"
Chlorpheniramine / hydrocodone / phenylephrine,Cough and Nasal Congestion,10.0,0.0,1.0,"[('year', 2), ('symptom', 2), ('diagnosed', 1), ('multiple', 1), ('sclerosis', 1)]"
Chlorpheniramine / hydrocodone / pseudoephedrine,Cough and Nasal Congestion,10.0,1.0,1.0,"[('axert', 7), ('migraine', 5), ('mg', 3), ('not', 3), ('botox', 3)]"
Chlorpheniramine / methscopolamine / pseudoephedrine,Sinus Symptoms,9.0,1.0,0.0,"[('nizatidine', 1), ('far', 1), ('best', 1), ('histamine', 1), ('blocker', 1)]"
Chlorpheniramine / phenylephrine,Cold Symptoms,10.0,2.0,2.0,"[('husband', 1), ('used', 1), ('year', 1), ('ago', 1), ('worked', 1)]"
Chlorpheniramine / pseudoephedrine,Allergic Rhinitis,10.0,2.0,1.0,"[('day', 26), ('level', 21), ('axiron', 18), ('week', 17), ('no', 14)]"
Chlorpromazine,Psychosis,9.0,2.0,5.0,"[('nose', 6), ('bit', 3), ('throat', 3), ('not', 3), ('keep', 2)]"
Chlorthalidone,Edema,3.0,1.0,2.0,"[('month', 6), ('far', 3), ('no', 3), ('injection', 3), ('blood', 3)]"
Chlorzoxazone,Muscle Spasm,9.5,8.0,2.0,"[('know', 1), ('label', 1), ('work', 1), ('atopic', 1), ('dermatitis', 1)]"
Cholestyramine,Irritable Bowel Syndrome,10.0,14.0,3.0,"[('year', 4), ('also', 4), ('imuran', 3), ('alluropinal', 3), ('take', 3)]"
Choline salicylate / magnesium salicylate,Pain,7.0,1.0,0.0,"[('pill', 2), ('work', 2), ('sure', 2), ('year', 2), ('make', 2)]"
Chondroitin / glucosamine,Osteoarthritis,5.0,3.0,0.0,"[('not', 1), ('help', 1), ('much', 1), ('crohn', 1), ('le', 1)]"
Chondroitin / glucosamine / methylsulfonylmethane,Osteoarthritis,9.0,0.0,1.0,"[('year', 4), ('imuran', 4), ('ago', 2), ('flare', 2), ('side', 2)]"
Chorionic gonadotropin (hcg),Obesity,10.0,2.0,2.0,"[('side', 2), ('got', 1), ('new', 1), ('rx', 1), ('aza', 1)]"
Chromium picolinate,Vitamin/Mineral Supplementation and Deficiency,8.5,2.0,0.0,"[('sick', 2), ('taking', 2), ('methotrexate', 2), ('news', 2), ('make', 2)]"
Cialis,Erectile Dysfunction,10.0,59.0,27.0,"[('started', 3), ('vomiting', 3), ('medication', 3), ('not', 3), ('severe', 3)]"
Ciclesonide,"Asthma, Maintenance",10.0,4.0,3.0,"[('week', 4), ('day', 4), ('azathioprine', 3), ('two', 3), ('pain', 3)]"
Ciclopirox,"Onychomycosis, Toenail",8.0,4.0,7.0,"[('acne', 18), ('started', 8), ('month', 7), ('finacea', 7), ('cystic', 5)]"
Cimetidine,Indigestion,9.0,1.0,0.0,"[('skin', 15), ('finacea', 7), ('get', 7), ('acne', 7), ('rosacea', 6)]"
Cimzia,"Crohn's Disease, Maintenance",7.5,6.0,2.0,"[('day', 11), ('spray', 5), ('work', 4), ('nasal', 4), ('help', 4)]"
Cinacalcet,Secondary Hyperparathyroidism,6.0,1.0,0.0,"[('eye', 2), ('drop', 2), ('suffering', 1), ('allergy', 1), ('season', 1)]"
Cinryze,Hereditary Angioedema,10.0,2.0,1.0,"[('day', 17), ('spray', 13), ('dymista', 10), ('year', 10), ('nose', 10)]"
Cipro,Urinary Tract Infection,7.0,42.0,7.0,"[('work', 1), ('well', 1), ('tried', 1), ('almost', 1), ('everything', 1)]"
Ciprodex,Otitis Externa,2.0,4.0,0.0,"[('slight', 1), ('tingling', 1), ('application', 1), ('around', 1), ('nose', 1)]"
Ciprofloxacin,Urinary Tract Infection,7.0,88.0,28.0,"[('azilect', 4), ('not', 3), ('told', 2), ('recently', 1), ('early', 1)]"
Ciprofloxacin / dexamethasone,Otitis Media,9.0,6.0,5.0,"[('mg', 6), ('need', 5), ('not', 4), ('day', 4), ('bp', 4)]"
Cisapride,GERD,1.0,1.0,0.0,"[('get', 4), ('side', 2), ('effect', 2), ('blood', 2), ('pressure', 2)]"
Citalopram,Anxiety and Stress,8.0,249.0,62.0,"[('time', 5), ('took', 4), ('med', 4), ('infection', 4), ('feel', 3)]"
CitraNatal 90 DHA,Vitamin/Mineral Supplementation during Pregnancy/Lactation,10.0,3.0,0.0,"[('day', 52), ('bronchitis', 19), ('stomach', 17), ('not', 14), ('first', 14)]"
Citrate of Magnesia,Constipation,10.0,1.0,0.0,"[('day', 3), ('month', 3), ('prescribed', 2), ('stomach', 2), ('cramp', 2)]"
Citric acid / magnesium oxide / sodium picosulfate,Bowel Preparation,8.0,24.0,6.0,"[('took', 68), ('pill', 62), ('hour', 61), ('stomach', 53), ('no', 41)]"
Claravis,Acne,9.0,21.0,9.0,"[('dose', 3), ('hour', 3), ('got', 2), ('tested', 2), ('week', 2)]"
Clarifoam EF,Acne,5.5,1.0,1.0,"[('day', 3), ('lyme', 2), ('symptom', 2), ('different', 2), ('antibiotic', 2)]"
Clarinex,Allergic Rhinitis,7.0,3.0,0.0,"[('great', 1), ('medicine', 1)]"
Clarithromycin,Sinusitis,6.0,77.0,23.0,"[('infection', 9), ('day', 9), ('ear', 8), ('strep', 3), ('hour', 3)]"
Claritin,Allergic Rhinitis,6.5,1.0,1.0,"[('day', 7), ('no', 5), ('took', 4), ('feel', 4), ('better', 4)]"
Claritin-D,Nasal Congestion,5.5,4.0,4.0,"[('day', 26), ('infection', 11), ('sinus', 10), ('bad', 10), ('not', 9)]"
Claritin-D 12 Hour,Allergic Rhinitis,1.0,1.0,0.0,"[('infection', 3), ('tooth', 2), ('zpack', 2), ('took', 1), ('job,taken', 1)]"
Clear Eyes Contact Lens Multi-Action Relief,Eye Redness,2.0,0.0,1.0,"[('day', 12), ('throat', 7), ('pain', 5), ('side', 4), ('infection', 4)]"
ClearLax,Constipation,9.0,3.0,0.0,"[('infection', 6), ('day', 5), ('medicine', 4), ('year', 4), ('feeling', 4)]"
Cleocin,Bacterial Infection,5.0,1.0,2.0,"[('brand', 3), ('generic', 2), ('not', 2), ('found', 1), ('greenstone', 1)]"
Climara,Postmenopausal Symptoms,9.0,4.0,3.0,"[('pack', 5), ('pill', 4), ('day', 4), ('better', 3), ('bronchitis', 3)]"
Climara Pro,Postmenopausal Symptoms,1.0,2.0,1.0,"[('took', 2), ('without', 1), ('food', 1), ('within', 1), ('minute', 1)]"
Clindamax,Bacterial Vaginitis,9.0,0.0,1.0,"[('day', 6), ('no', 3), ('throat', 3), ('dizziness', 3), ('taste', 3)]"
Clindamycin,Bacterial Infection,7.0,95.0,29.0,"[('took', 1), ('tooth', 1), ('infection', 1), ('job', 1)]"
Clindamycin / tretinoin,Acne,8.5,12.0,20.0,"[('day', 4), ('dose', 4), ('hr', 3), ('ago', 3), ('severe', 2)]"
Clindesse,Bacterial Vaginitis,3.0,1.0,0.0,"[('azo', 3), ('found', 2), ('hour', 2), ('taking', 2), ('make', 2)]"
Clobazam,Lennox-Gastaut Syndrome,2.0,2.0,0.0,"[('treatment', 1), ('azopt', 1), ('eye', 1), ('drop', 1), ('day', 1)]"
Clobetasol,Psoriasis,10.0,12.0,13.0,"[('azor', 11), ('blood', 10), ('pressure', 10), ('would', 6), ('year', 5)]"
Clobex,Psoriasis,9.5,2.0,2.0,"[('azurette', 4), ('birth', 4), ('control', 4), ('year', 3), ('month', 3)]"
Clocortolone,Dermatitis,10.0,1.0,1.0,"[('pain', 5), ('bladder', 4), ('spasm', 4), ('cancer', 2), ('doctor', 2)]"
Cloderm,Dermatitis,10.0,1.0,2.0,"[('work', 3), ('bandaid', 3), ('aaa', 2), ('like', 2), ('red', 2)]"
Clomid,emale Infertility,10.0,9.0,2.0,"[('baclofen', 23), ('alcohol', 17), ('mg', 14), ('drinking', 12), ('day', 11)]"
Clomiphene,emale Infertility,10.0,10.0,7.0,"[('med', 1), ('really', 1), ('nothing', 1)]"
Clomipramine,Obsessive Compulsive Disorde,9.0,25.0,5.0,"[('not', 3), ('pain', 3), ('success', 2), ('mg', 2), ('also', 2)]"
Clonazepam,Anxiety,9.0,240.0,73.0,"[('get', 1), ('sick', 1), ('feeling', 1), ('relief', 1), ('spasticity', 1)]"
Clonidine,Opiate Withdrawal,8.0,58.0,24.0,"[('pain', 5), ('not', 4), ('week', 3), ('time', 3), ('helped', 3)]"
Clopidogrel,Platelet Aggregation Inhibition,8.0,5.0,2.0,"[('tried', 1), ('dad', 1), ('non', 1), ('stop', 1), ('hiccup', 1)]"
Clorazepate,Anxiety,10.0,5.0,1.0,"[('tension', 2), ('headache', 2), ('mg', 2), ('day', 2), ('no', 2)]"
Clotrimazole,Oral Thrush,6.0,4.0,0.0,"[('spasm', 31), ('day', 27), ('baclofen', 22), ('muscle', 17), ('mg', 16)]"
Clozapine,Schizophrenia,8.5,4.0,2.0,"[('mg', 5), ('baclofen', 5), ('fibromyalgia', 3), ('neuropathy', 3), ('day', 3)]"
Clozaril,Schizophrenia,9.5,2.0,0.0,"[('effective', 1), ('desperate', 1), ('pain', 1), ('relief', 1)]"
CoQ10,Dietary Supplementation,10.0,1.0,0.0,"[('acne', 18), ('bactrim', 16), ('year', 8), ('tried', 8), ('not', 6)]"
Coagulation factor ix,Hemophilia B,9.0,0.0,1.0,"[('bactrim', 3), ('infection', 3), ('rash', 3), ('cyst', 2), ('drained', 2)]"
Coal tar,Psoriasis,1.0,0.0,1.0,"[('infection', 15), ('bactrim', 14), ('day', 12), ('skin', 7), ('effect', 7)]"
Coartem,Malaria,10.0,0.0,1.0,"[('doctor', 2), ('not', 2), ('called', 2), ('sulfa', 2), ('felt', 2)]"
Cobicistat / darunavir,HIV Infection,10.0,0.0,1.0,"[('day', 7), ('went', 3), ('er', 3), ('later', 3), ('felt', 3)]"
Cobicistat / elvitegravir / emtricitabine / tenofovir,HIV Infection,10.0,13.0,10.0,"[('get', 3), ('bactrim', 2), ('bathroom', 2), ('hive', 2), ('thought', 2)]"
Cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide,HIV Infection,8.5,11.0,3.0,"[('work', 1)]"
Codeine,Pain,7.5,8.0,0.0,"[('day', 5), ('bactrim', 3), ('side', 3), ('effect', 3), ('sinus', 2)]"
Codeine / guaifenesin,Cough,8.0,8.0,5.0,"[('day', 19), ('bactrim', 14), ('infection', 12), ('uti', 11), ('taking', 10)]"
Codeine / promethazine,Cough,4.0,7.0,1.0,"[('year', 5), ('went', 5), ('started', 5), ('not', 4), ('skin', 4)]"
Codimal DM,Cold Symptoms,10.0,1.0,0.0,"[('day', 4), ('headache', 4), ('staph', 2), ('infection', 2), ('incision', 2)]"
Cogentin,Extrapyramidal Reaction,3.0,2.0,1.0,"[('infection', 7), ('day', 6), ('rash', 5), ('not', 5), ('side', 5)]"
Colace,Constipation,9.0,1.0,0.0,"[('pill', 2), ('help', 2), ('bad', 2), ('infection', 2), ('taking', 1)]"
